timestamp,machine_id,temperature,motor_current,vibration,speed,pressure,state
2026-01-01T06:00:00,PUMP-001,180.993,4.431,0.8648,167.62,4.453,normal
2026-01-01T06:00:01,PUMP-001,179.532,5.29,0.8767,157.65,4.609,normal
2026-01-01T06:00:02,PUMP-001,179.073,4.267,0.8242,150.43,4.155,normal
2026-01-01T06:00:03,PUMP-001,178.875,3.994,0.8314,155.46,4.218,normal
2026-01-01T06:00:04,PUMP-001,182.931,4.387,0.8068,152.88,4.391,normal
2026-01-01T06:00:05,PUMP-001,180.222,3.925,0.8376,157.0,4.442,normal
2026-01-01T06:00:06,PUMP-001,178.797,5.426,0.7987,154.71,4.665,normal
2026-01-01T06:00:07,PUMP-001,177.558,4.604,0.604,153.36,4.539,normal
2026-01-01T06:00:08,PUMP-001,181.477,4.586,0.7884,158.49,4.204,normal
2026-01-01T06:00:09,PUMP-001,178.56,4.27,0.9057,161.72,4.147,normal
2026-01-01T06:00:10,PUMP-001,180.648,4.307,0.7323,163.06,4.706,normal
2026-01-01T06:00:11,PUMP-001,181.863,4.08,0.7691,161.66,4.695,normal
2026-01-01T06:00:12,PUMP-001,179.042,4.407,0.6894,154.02,4.663,normal
2026-01-01T06:00:13,PUMP-001,182.712,4.464,0.9004,161.81,4.371,normal
2026-01-01T06:00:14,PUMP-001,180.723,5.269,0.7964,167.82,3.976,normal
2026-01-01T06:00:15,PUMP-001,181.644,4.544,0.7701,160.46,4.102,normal
2026-01-01T06:00:16,PUMP-001,179.561,4.679,0.9478,157.41,4.338,normal
2026-01-01T06:00:17,PUMP-001,178.996,4.958,0.8329,157.35,4.603,normal
2026-01-01T06:00:18,PUMP-001,180.194,4.984,0.7298,158.36,4.422,normal
2026-01-01T06:00:19,PUMP-001,177.073,4.648,0.8261,160.03,4.453,normal
2026-01-01T06:00:20,PUMP-001,177.169,4.29,0.7657,155.99,4.468,normal
2026-01-01T06:00:21,PUMP-001,180.808,5.443,0.8175,161.29,4.485,normal
2026-01-01T06:00:22,PUMP-001,176.162,4.487,0.806,172.32,4.462,normal
2026-01-01T06:00:23,PUMP-001,180.603,4.483,0.6831,165.71,4.65,normal
2026-01-01T06:00:24,PUMP-001,181.582,4.045,0.9403,152.99,4.617,normal
2026-01-01T06:00:25,PUMP-001,184.381,4.005,0.7434,160.5,4.399,normal
2026-01-01T06:00:26,PUMP-001,176.899,4.534,0.6938,162.37,4.316,normal
2026-01-01T06:00:27,PUMP-001,183.1,4.108,0.7678,164.07,4.254,normal
2026-01-01T06:00:28,PUMP-001,180.455,5.154,0.6393,160.92,4.552,normal
2026-01-01T06:00:29,PUMP-001,181.564,3.882,0.668,162.61,4.559,normal
2026-01-01T06:00:30,PUMP-001,180.501,4.673,0.732,161.16,4.559,normal
2026-01-01T06:00:31,PUMP-001,178.571,5.433,0.8474,154.04,4.631,normal
2026-01-01T06:00:32,PUMP-001,178.051,4.894,0.9159,155.9,4.693,normal
