timestamp,machine_id,temperature,motor_current,vibration,speed,pressure,state
2026-01-01T06:00:00,TURBINE-003,857.451,449.309,1.3295,15076.15,31.766,normal
2026-01-01T06:00:01,TURBINE-003,846.488,457.896,1.3535,14976.53,32.543,normal
2026-01-01T06:00:02,TURBINE-003,843.049,447.671,1.2484,14904.34,30.275,normal
2026-01-01T06:00:03,TURBINE-003,841.566,444.936,1.2628,14954.6,30.588,normal
2026-01-01T06:00:04,TURBINE-003,871.985,448.871,1.2135,14928.76,31.456,normal
2026-01-01T06:00:05,TURBINE-003,851.664,444.245,1.2751,14969.97,31.708,normal
2026-01-01T06:00:06,TURBINE-003,840.974,459.261,1.1973,14947.11,32.823,normal
2026-01-01T06:00:07,TURBINE-003,831.687,451.044,0.8081,14933.59,32.197,normal
2026-01-01T06:00:08,TURBINE-003,861.077,450.857,1.1769,14984.94,30.521,normal
2026-01-01T06:00:09,TURBINE-003,839.202,447.697,1.4114,15017.18,30.237,normal
2026-01-01T06:00:10,TURBINE-003,854.861,448.075,1.0646,15030.58,33.031,normal
2026-01-01T06:00:11,TURBINE-003,863.969,445.804,1.1382,15016.56,32.976,normal
2026-01-01T06:00:12,TURBINE-003,842.812,449.072,0.9787,14940.19,32.813,normal
2026-01-01T06:00:13,TURBINE-003,870.344,449.64,1.4007,15018.08,31.355,normal
2026-01-01T06:00:14,TURBINE-003,855.421,457.69,1.1928,15078.23,29.38,normal
2026-01-01T06:00:15,TURBINE-003,862.329,450.435,1.1402,15004.59,30.012,normal
2026-01-01T06:00:16,TURBINE-003,846.705,451.786,1.4956,14974.09,31.192,normal
2026-01-01T06:00:17,TURBINE-003,842.474,454.577,1.2658,14973.51,32.513,normal
2026-01-01T06:00:18,TURBINE-003,851.456,454.843,1.0596,14983.62,31.608,normal
2026-01-01T06:00:19,TURBINE-003,828.047,451.481,1.2522,15000.26,31.765,normal
2026-01-01T06:00:20,TURBINE-003,828.769,447.897,1.1315,14959.89,31.839,normal
2026-01-01T06:00:21,TURBINE-003,856.061,459.431,1.2349,15012.88,31.926,normal
2026-01-01T06:00:22,TURBINE-003,821.218,449.867,1.212,15123.16,31.808,normal
2026-01-01T06:00:23,TURBINE-003,854.523,449.826,0.9663,15057.14,32.752,normal
2026-01-01T06:00:24,TURBINE-003,861.865,445.453,1.4806,14929.91,32.587,normal
2026-01-01T06:00:25,TURBINE-003,882.857,445.047,1.0867,15004.98,31.497,normal
2026-01-01T06:00:26,TURBINE-003,826.74,450.343,0.9875,15023.68,31.081,normal
2026-01-01T06:00:27,TURBINE-003,873.249,446.084,1.1356,15040.68,30.769,normal
2026-01-01T06:00:28,TURBINE-003,853.412,456.536,0.8785,15009.23,32.26,normal
2026-01-01T06:00:29,TURBINE-003,861.727,443.815,0.9359,15026.1,32.297,normal
2026-01-01T06:00:30,TURBINE-003,853.757,451.732,1.064,15011.61,32.293,normal
2026-01-01T06:00:31,TURBINE-003,839.285,459.329,1.2948,14940.43,32.657,normal
2026-01-01T06:00:32,TURBINE-003,835.38,453.935,1.4317,14958.97,32.963,normal
2026-01-01T06:00:33,TURBINE-003,856.192,454.11,1.5794,14987.73,31.246,normal
2026-01-01T06:00:34,TURBINE-003,836.657,445.921,1.1846,15017.06,32.277,normal
2026-01-01T06:00:35,TURBINE-003,862.408,450.065,1.4907,14986.77,34.72,normal
2026-01-01T06:00:36,TURBINE-003,859.385,445.714,0.9858,15024.12,31.777,normal
2026-01-01T06:00:37,TURBINE-003,860.71,452.366,1.1854,14957.66,30.485,normal
2026-01-01T06:00:38,TURBINE-003,843.302,454.282,1.2428,14937.71,32.173,normal
2026-01-01T06:00:39,TURBINE-003,855.78,445.581,1.2307,15002.91,30.857,normal
